No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,26.42B,25.42,85.35,0.66%,4736623
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.12B,-,16.7,4.51%,8690833
3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,16.09,0.63%,80109
4,AACG,ATA Creativity Global,Services,Education & Training Services,China,31.64M,-,1.17,-9.30%,29248
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,57.5,1.75%,14385
6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,12.79B,7.45,28.33,-1.05%,7994531
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,31.10M,-,19.56,30.40%,71261
8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,49.97M,-,2.44,-5.06%,50
9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3.78B,19.16,56.15,-2.43%,1059448
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,260.32M,-,12.08,2.81%,978148
11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.94B,59.83,57.14,2.51%,85736
12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,9.78B,19.91,140.12,-1.19%,1014953
13,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1415.64B,25.56,323.62,1.45%,23139659
14,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2.71B,56.97,45.52,-1.13%,223863
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,48.91M,-,0.45,2.08%,262249
16,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,767.35M,2.82,29.68,7.58%,941720
17,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,73.08,0.69%,491963
18,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.31B,340.61,88.9,1.82%,549512
19,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.52B,14.35,35.69,0.99%,459798
20,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,53.41B,52.09,24.43,1.12%,1306439
21,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,141.15B,42.16,94.14,0.57%,6310999
22,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.62B,30.87,95.13,0.87%,914595
23,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,2.84B,14.19,40.42,0.50%,226901
24,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,331.79M,-,4.08,16.57%,4362410
25,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,25.09,0.42%,2600
26,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,57.73B,20.85,3.67,1.10%,14003781
27,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.94B,10.33,98.90,2.59%,176387
28,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,8.16M,-,5.20,-2.80%,86075
29,ABM,ABM Industries Incorporated,Services,Business Services,USA,2.60B,20.32,38.82,0.31%,209426
30,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.46B,31.50,167.90,-0.65%,618042
31,ABR,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,1.64B,10.58,14.66,-0.95%,1220922
32,ABR-PB,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,-,-,-,-,0
33,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,158.30B,44.19,89.36,0.54%,3462928
34,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,774.08M,15.33,37.65,0.29%,61957
35,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,198.85M,-,3.27,-3.82%,461048
36,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,968.42M,-,43.80,1.91%,9933
37,ACA,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,2.20B,18.50,44.76,-4.05%,383819
38,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.18B,-,45.84,0.88%,746968
39,ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,308.63M,-,10.10,-0.20%,41248
40,ACAMU,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,698.15M,-,10.32,-4.00%,700
41,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,1.91B,7.92,1.71,4.27%,23408586
42,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,439.20M,16.61,20.0,0.65%,38703
43,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,6.55B,62.03,47.64,-0.94%,822143
44,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,957.22M,8.87,9.5,-1.35%,354156
45,ACEL,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,977.51M,-,13.03,0.15%,132263
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,51.00M,-,5.09,2.93%,97305
47,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,43.52,5.76%,195972
48,ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,19.60B,12.43,48.18,0.61%,1077597
49,ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.68B,6.85,26.51,-0.66%,13268
50,ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.39B,6.66,25.79,-0.81%,35510
51,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.96B,93.85,7.32,0.27%,35502
52,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3.10B,-,34.79,2.11%,433994
53,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,10.44M,-,0.51,-1.99%,666423
54,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.83B,103.57,68.67,-0.20%,316573
55,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,25.25,0.36%,2824
56,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,573.61M,11.44,8.56,2.64%,172731
57,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3.90B,48.82,34.03,2.38%,713711
58,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,914.67M,55.74,27.98,0.61%,231755
59,ACM,AECOM,Services,Technical Services,USA,8.06B,-,50.75,7.43%,4865982
60,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,718.96M,43.72,39.92,-4.57%,1383371
61,ACN,Accenture plc,Technology,Information Technology Services,Ireland,141.87B,28.81,215.92,1.01%,1782388
62,ACNB,ACNB Corporation,Financial,Regional - Southwest Banks,USA,314.35M,10.47,35.4,1.96%,8684
63,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,88.08M,-,1.71,5.56%,1333678
64,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,United Kingdom,213.37M,-,12.24,0.58%,207548
65,ACRE,Ares Commercial Real Estate Corporation,Financial,Mortgage Investment,USA,567.63M,13.11,17.0,0.53%,298162
66,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,54.57M,-,1.29,-3.01%,272838
67,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,123.76M,-,1.49,-4.49%,925251
68,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.97,0.00%,0
69,ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,37.64,0.15%,410
70,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,49.25M,-,0.56,-1.56%,1172857
71,ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,25.84,0.76%,4689
72,ACTG,Acacia Research Corporation,Services,Business Services,USA,118.90M,-,2.38,-1.86%,135802
73,ACTT,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,309.90M,-,10.33,0.10%,874824
74,ACTTU,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,11.1,0.00%,20
75,ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,81.15M,16.22,24.01,-1.03%,28994
76,ACV,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,275.07M,-,26.63,1.22%,22033
77,ACWF,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,-,-,31.81,0.49%,6380
78,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,81.46,0.42%,2220939
79,ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,99.35,0.09%,204149
80,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,48.83,0.51%,633418
81,ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,7.71M,-,4.97,5.80%,28841
82,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,498.89M,-,3.98,-1.00%,286507
83,ADBE,Adobe Inc.,Technology,Application Software,USA,184.56B,63.74,383.28,1.17%,2553587
84,ADC,Agree Realty Corporation,Financial,Property Management,USA,3.21B,43.23,76.73,-1.21%,262087
85,ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,230.19M,7.06,12.49,0.73%,230942
86,ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,46.19B,33.98,123.89,4.49%,4584088
87,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,18.39M,-,1.61,6.19%,151384
88,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,24.75B,17.40,43.97,-1.08%,2257022
89,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,320.51M,-,3.87,4.31%,2448916
90,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.86,0.59%,1760
91,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,39.30M,-,0.69,-9.47%,1871485
92,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,159.65M,-,5.59,-0.18%,314819
93,ADNT,Adient plc,Consumer Goods,Auto Parts,Ireland,2.62B,-,27.73,-0.47%,887023
94,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,78.21B,32.03,181.25,0.73%,1611483
95,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4.20B,492.94,33.52,5.57%,1314041
96,ADRA,Invesco BLDRS Asia 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,34.72,0.00%,0
97,ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,22.23,0.00%,0
98,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,43.88,1.47%,7853
99,ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,276.19M,-,3.6,-1.77%,2152542
100,ADRU,Invesco BLDRS Europe Select ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,21.57,0.00%,0
101,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,4.70B,7.57,101.36,0.86%,716903
102,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,46.06B,355.41,210.76,1.79%,1563091
103,ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2.96B,-,33.06,-0.06%,988082
104,ADT,ADT Inc.,Services,Security & Protection Services,USA,5.30B,-,7.22,2.85%,1315596
105,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,413.45M,-,8.61,0.12%,226394
106,ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,1.53B,66.18,99.67,-0.12%,70540
107,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.16B,-,16.19,-0.77%,1289094
108,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.75B,8.57,16.6,0.42%,96448
109,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,66.32M,-,1.07,1.90%,4768729
110,AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,137.15M,80.85,32.5,-1.28%,4291
111,AEE,Ameren Corporation,Utilities,Electric Utilities,USA,21.12B,26.46,85.88,-1.00%,1589388
112,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,386.93M,12.46,7.62,0.38%,7017
113,AEG,Aegon N.V.,Financial,Life Insurance,Netherlands,8.46B,9.98,4.04,0.25%,1164148
114,AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,711.36M,-,22.91,-0.35%,53533
115,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,55.48M,-,2.41,-9.74%,216064
116,AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,2.76B,41.07,71.09,-1.26%,366746
117,AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,3.00B,12.38,33.13,-0.42%,537107
118,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,14.06B,-,49.64,0.12%,3763436
119,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,2.33B,9.21,14.01,-2.30%,5624805
120,AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,50.68B,24.17,103.5,-0.80%,1908632
121,AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,8.25B,7.42,62.71,1.15%,925371
122,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,911.59M,-,19.47,2.42%,956953
123,AES,The AES Corporation,Utilities,Electric Utilities,USA,13.88B,26.84,20.91,-0.57%,2182361
124,AESE,Allied Esports Entertainment Inc.,Conglomerates,Conglomerates,USA,66.33M,-,2.82,3.68%,43478
125,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,10.52,0.00%,0
126,AEY,"ADDvantage Technologies Group, Inc.",Services,Electronics Wholesale,USA,41.73M,-,3.63,12.89%,780510
127,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,Canada,26.40M,-,1.36,3.82%,291678
128,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,409.33M,7.55,14.24,0.35%,53952
129,AFG,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,10.11B,11.37,112.15,0.02%,380826
130,AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,7.75M,-,0.65,4.56%,59648
131,AFI,"Armstrong Flooring, Inc.",Industrial Goods,General Building Materials,USA,73.07M,-,3.4,0.29%,185001
132,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,9.73,-0.31%,28355
133,AFIN,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,1.39B,-,12.93,-3.58%,391354
134,AFINP,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,-,-,25.88,0.08%,44766
135,AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,19.67,-0.13%,10753
136,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,37.59B,11.65,51.55,-0.64%,2154317
137,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,21.16,0.00%,0
138,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,212.38M,-,2.75,1.48%,506857
139,AFSM,First Trust Active Factor Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,20.64,0.18%,1
140,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,241.23M,27.76,15.49,-0.32%,70469
141,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,16.49,0.73%,2336
142,AFYA,Afya Limited,Services,Education & Training Services,Brazil,2.50B,23.43,26.45,-0.30%,308994
143,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1.91B,-,9.32,-8.00%,14434563
144,AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,USA,5.01B,41.61,66.37,-0.36%,492487
145,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,133.90M,9.58,10.67,0.00%,45206
146,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,51.17M,-,1.41,-4.08%,83093
147,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,602.97M,-,4.39,12.56%,3931810
148,AGFS,"AgroFresh Solutions, Inc.",Conglomerates,Conglomerates,USA,124.06M,-,2.47,5.56%,70320
149,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,114.41,-0.03%,3404831
150,AGGP,IQ Enhanced Core Plus Bond U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,19.9,-0.08%,5896
151,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,53.36,0.04%,190523
152,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,2.55B,-,6.53,2.67%,3170429
153,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.60B,-,53.04,-0.45%,512058
154,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,244.38M,-,8.22,0.37%,29966
155,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,774.38M,9.31,72.78,-3.27%,52658
156,AGM-A,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,66.13M,8.21,64.16,0.00%,0
157,AGMH,AGM Group Holdings Inc.,Technology,Application Software,Hong Kong,334.24M,-,15.68,3.70%,2805
158,AGN,Allergan plc,Healthcare,Drugs - Generic,USA,65.57B,-,198.81,0.41%,2223149
159,AGNC,AGNC Investment Corp.,Financial,Mortgage Investment,USA,10.62B,16.83,19.44,-0.51%,6998815
160,AGNCM,AGNC Investment Corp.,Financial,Mortgage Investment,USA,12.46B,22.47,26.07,-0.11%,32927
161,AGNCN,AGNC Investment Corp.,Financial,Mortgage Investment,USA,12.52B,22.59,26.21,-0.46%,30917
162,AGNCO,AGNC Investment Corp.,Financial,Mortgage Investment,USA,-,22.31,25.88,-0.12%,28270
163,AGND,WisdomTree Negative Duration U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,40.74,-0.20%,617
164,AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,Bermuda,4.45B,13.57,46.12,-0.97%,436968
165,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,33.44,2.80%,400516
166,AGR,"Avangrid, Inc.",Utilities,Gas Utilities,USA,16.89B,26.80,54.97,0.13%,772194
167,AGRO,Adecoagro S.A.,Consumer Goods,Farm Products,Luxembourg,928.41M,-,8.05,0.75%,103781
168,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drugs - Generic,USA,220.22M,-,3.66,-7.11%,7339419
169,AGS,"PlayAGS, Inc.",Services,Gaming Activities,USA,370.42M,-,10.45,0.87%,526529
170,AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,-,-,22.61,1.43%,3433
171,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,137.75M,-,5.55,2.68%,1321318
172,AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,USA,725.08M,-,47.36,0.77%,74673
173,AGYS,"Agilysys, Inc.",Technology,Application Software,USA,854.54M,-,35.68,0.17%,180765
174,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,117.09,-0.04%,17547
175,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,48.13,0.01%,17556
176,AHC,A.H. Belo Corporation,Services,Publishing - Newspapers,USA,61.26M,4.43,2.68,-1.83%,36835
177,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.15B,1080.67,16.21,-0.61%,65260
178,AHH,"Armada Hoffler Properties, Inc.",Financial,REIT - Diversified,USA,1.37B,61.22,18.12,-2.48%,442492
179,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Appliances & Equipment,USA,8.19M,-,2.09,-4.57%,116601
180,AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,267.57M,-,2.56,1.99%,564066
181,AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,USA,245.10M,-,6.61,3.44%,1124707
182,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,66.17,0.78%,14566
183,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,30.24,0.33%,23554
184,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,229.25M,20.19,15.85,0.63%,66673
185,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,45.16B,24.56,49.41,0.82%,5739871
186,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,19.28M,-,0.66,-2.43%,627318
187,AIIQ,AI Powered International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.26,0.70%,1850
188,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,9.51M,-,1.05,-4.55%,2290011
189,AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,USA,2.34B,26.85,35.34,-0.95%,233875
190,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.75B,-,27.3,-2.67%,1456440
191,AIN,Albany International Corp.,Industrial Goods,Textile Industrial,USA,2.38B,18.05,73.98,-0.20%,271629
192,AINC,Ashford Inc.,Financial,Asset Management,USA,51.47M,-,23.5,0.05%,7067
193,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,1.13B,18.48,16.95,-1.80%,999792
194,AIQ,Global X Future Analytics Tech ETF,Financial,Exchange Traded Fund,USA,-,-,19.92,0.81%,11021
195,AIR,AAR Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,1.57B,18.00,45.26,0.96%,140066
196,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,85.78M,41.42,9.03,-0.55%,34410
197,AIRI,Air Industries Group,Industrial Goods,Aerospace/Defense Products & Services,USA,45.99M,-,1.58,-1.25%,85265
198,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,-,-,29.09,-0.19%,21096
199,AIRT,"Air T, Inc.",Services,Air Delivery & Freight Services,USA,59.93M,-,19.65,0.20%,1557
200,AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,USA,2.63B,17.68,67.46,-0.33%,107557
201,AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,8.06B,23.09,54.27,-1.09%,1128605
202,AIZ,"Assurant, Inc.",Financial,Accident & Health Insurance,USA,8.69B,25.42,140.68,-0.79%,372413
203,AIZP,"Assurant, Inc.",Financial,Insurance Brokers,USA,8.50B,23.46,137.02,-0.78%,1546
204,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,20.40B,30.81,108.78,0.25%,564717
205,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,4.15B,31.51,53.13,-0.88%,414838
206,AJX,Great Ajax Corp.,Financial,Mortgage Investment,USA,319.29M,11.97,15.19,-0.52%,79952
207,AJXA,Great Ajax Corp. 7.25 CV SR NT 24,Financial,Exchange Traded Fund,USA,-,-,27.16,-0.65%,2346
208,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,16.56B,35.30,102.56,1.58%,1263126
209,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.19B,-,9.69,5.44%,2104393
210,AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.68B,-,18.44,5.61%,195599
211,AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,8.53M,-,3.32,3.75%,205965
212,AKG,Asanko Gold Inc.,Basic Materials,Gold,Canada,212.40M,-,0.93,1.14%,318219
213,AKO-A,Embotelladora Andina S.A.,Consumer Goods,Beverages - Soft Drinks,Chile,2.15B,14.28,13.62,0.93%,422
214,AKO-B,Embotelladora Andina S.A.,Consumer Goods,Beverages - Soft Drinks,Chile,2.31B,14.95,15.25,-1.55%,9637
215,AKR,Acadia Realty Trust,Financial,Property Management,USA,2.15B,41.08,25.06,-1.88%,381684
216,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,713.54M,-,23.69,-1.58%,66604
217,AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,USA,171.24M,-,1.42,2.90%,2259716
218,AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,992.90M,9.59,3.03,2.36%,5855832
219,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,287.53M,-,8.15,4.35%,438700
220,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,39.38M,-,1.99,1.02%,99752
221,AL,Air Lease Corporation,Services,Rental & Leasing Services,USA,4.93B,8.91,43.75,0.57%,889261
222,ALAC,Alberton Acquisition Corporation,Conglomerates,Conglomerates,Hong Kong,153.66M,-,10.46,-0.17%,3
223,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,9.47B,17.21,89.34,0.72%,1959825
224,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,386.40M,-,26.02,6.42%,96501
225,ALC,"Alcon, Inc.",Healthcare,Medical Instruments & Supplies,USA,30.88B,-,63.26,0.41%,581840
226,ALCO,"Alico, Inc.",Consumer Goods,Farm Products,USA,272.42M,6.63,36.42,-0.49%,6307
227,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,146.18M,-,5.18,0.19%,121494
228,ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,USA,4.15B,22.35,80.21,-1.41%,213124
229,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,2.31B,-,29.86,3.00%,578589
230,ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1.61B,-,22.38,-0.89%,583119
231,ALFA,AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA,-,-,62.59,0.70%,618
232,ALG,Alamo Group Inc.,Industrial Goods,Farm & Construction Machinery,USA,1.52B,22.86,129.1,-0.52%,33334
233,ALGN,"Align Technology, Inc.",Healthcare,Medical Appliances & Equipment,USA,21.69B,50.09,277.15,2.67%,523167
234,ALGR,Allegro Merger Corp.,Conglomerates,Conglomerates,USA,156.53M,86.10,10.25,0.06%,206
235,ALGT,Allegiant Travel Company,Services,Regional Airlines,USA,2.71B,11.54,164.87,-0.40%,204609
236,ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,31.06M,-,6.15,-1.76%,16546
